Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
CDK9,-2.482795261,-2.088341719
CDS2,-2.138015574,-1.70013229
CDT1,-1.640391662,-1.498978103
CEBPA,-1.687028304,-1.599054946
CEBPZ,-1.933886176,-1.565610259
CENPC,-1.554819434,-1.285565237
CENPK,-2.040029864,-1.805773546
CENPM,-2.204800804,-1.856333972
CENPN,-2.193206797,-1.74348399
CENPW,-1.207351188,-0.951510165
CFDP1,-1.838248875,-1.585956142
CFL1,-1.461332258,-1.330133567
CHAF1A,-1.272518105,-0.954767776
CHAF1B,-1.548674436,-1.257886376
CHCHD4,-1.633570253,-1.070134122
CHD1,-1.490770429,-1.326760265
CHD7,-0.951558496,-0.87688941
CHD8,-0.825764555,-0.804365654
CHEK1,-1.425122331,-0.966140422
CHERP,-1.294421284,-1.345083522
CHMP2A,-0.973070686,-1.115941647
CHMP4B,-1.123080196,-0.897831268
CHMP5,-1.206003707,-1.148240234
CHMP6,-0.96909389,-0.963009683
CHORDC1,-3.006980594,-2.400755322
CHTF8,-1.04248766,-1.047447159
CIAO1,-2.163229076,-1.808084608
CIAPIN1,-1.048325753,-1.087806335
CINP,-1.786225762,-1.605874286
CIRH1A,-2.137949463,-1.803227815
CITED2,-1.126908965,-1.204382544
CKAP5,-1.143460722,-1.161496825
CLASRP,-1.107634799,-1.057742389
CLNS1A,-1.99767577,-1.713194389
CLTC,-1.295807383,-1.053629939
CMPK1,-1.68886257,-1.474820842
CNOT1,-1.459132492,-1.235153555
CNOT11,-1.008799139,-0.959547506
CNOT3,-1.730511804,-1.525001444
COA3,-2.73862168,-1.838918385
COA5,-1.459047803,-1.16396712
COA6,-2.236507446,-1.161085961
COASY,-1.168079968,-0.798381904
COG1,-1.111686131,-0.775344216
COG8,-1.133487367,-0.862308309
COPA,-1.496878825,-1.437134146
COPB2,-1.796814456,-1.503883054
COPE,-1.522076716,-1.210227444
COPS2,-1.377201137,-1.345183171
COPS3,-1.452303605,-1.368348329
COPS4,-1.638230255,-1.012038443
COPS5,-1.752346935,-1.639788841
COPS6,-2.031329334,-1.783913502
COPS8,-1.343990753,-1.276870979
COQ2,-2.759423878,-1.884844412
COQ4,-1.64559196,-1.135593553
COX10,-1.915370922,-1.4989898
COX11,-1.381759151,-1.068038023
COX15,-1.540465454,-0.920332904
COX17,-1.690771229,-1.006174775
COX20,-1.044426375,-0.77079077
COX4I1,-1.463532033,-1.215542503
COX5A,-2.270052031,-2.078297148
COX5B,-2.720838749,-1.764748997
COX6B1,-1.25347187,-0.985157096
COX7C,-2.066286904,-1.574081979
CPOX,-3.025961223,-2.161372242
CPSF1,-2.192394359,-1.981189572
CPSF2,-1.452852573,-1.226543444
CPSF3,-1.981119534,-1.66862823
CPSF3L,-3.129477358,-2.633739201
CPSF4,-2.008516179,-1.695863265
CRCP,-2.020782053,-1.52300453
CSE1L,-1.264787433,-0.930461514
CSNK1A1,-1.122430242,-0.951985842
CSNK2B,-2.216639639,-2.18209658
CSTF1,-2.7773775,-1.859819741
CSTF3,-1.307919341,-1.264853252
CTC1,-2.439618133,-1.874910337
CTCF,-2.460393199,-1.860009302
CTDP1,-1.628121788,-1.257156935
CTDSPL2,-0.80730461,-0.977982628
CTNNBL1,-1.884780919,-1.473673374
CTPS1,-2.440831178,-2.442804503
CTR9,-1.56728497,-1.620581857
CTU2,-1.035097657,-0.918365034
CUL1,-1.651082535,-1.672776309
CUL2,-2.250765141,-1.719096235
CUL3,-0.90614187,-0.883781101
CYC1,-1.622033728,-1.708441248
DACH1,-1.377730113,-1.307986332
DAD1,-1.519589475,-1.355302415
DAP3,-1.74881415,-1.046894902
DARS2,-1.472970568,-0.801593073
DAXX,-0.811858777,-0.819490143
DBR1,-2.734202373,-2.061059091
DCAF13,-0.863518315,-0.779183023
DCTN2,-1.196571395,-0.942110062
DCTN3,-0.958484359,-1.054619242
DCTN5,-2.182468016,-1.932391542
